# idx t phi1 phi3 phi4
445 0.000052754688 -98.035321305669 99.752229889169 -0.247770110831
446 0.000052854688 -100.434810672162 99.751836551798 -0.248163448202
447 0.000052954688 -102.731566024087 99.751591697435 -0.248408302565
448 0.000053054688 -104.923397016230 99.751495420854 -0.248504579146
449 0.000053154688 -107.008220310538 99.751547668333 -0.248452331667
450 0.000053254688 -108.984061548991 99.751748237861 -0.248251762139
451 0.000053354688 -110.849057215645 99.752096779487 -0.247903220513
452 0.000053454688 -112.601456386077 99.752592795820 -0.247407204180
453 0.000053554688 -114.239622362614 99.753235642675 -0.246764357325
454 0.000053654688 -115.762034193830 99.754024529863 -0.245975470137
455 0.000053754688 -117.167288076891 99.754958522127 -0.245041477873
456 0.000053854688 -118.454098641492 99.756036540226 -0.243963459774
457 0.000053954688 -119.621300114198 99.757257362155 -0.242742637845
458 0.000054054688 -120.667847362165 99.758619624509 -0.241380375491
459 0.000054154688 -121.592816815312 99.760121823992 -0.239878176008
460 0.000054254688 -122.395407266143 99.761762319053 -0.238237680947
461 0.000054354688 -123.074940546554 99.763539331670 -0.236460668330
462 0.000054454688 -123.630862081059 99.765450949262 -0.234549050738
463 0.000054554688 -124.062741316024 99.767495126735 -0.232504873265
464 0.000054654688 -124.370272024583 99.769669688659 -0.230330311341
465 0.000054754688 -124.553272487084 99.771972331569 -0.228027668431
466 0.000054854688 -124.611685546986 99.774400626401 -0.225599373599
467 0.000054954688 -124.545578542292 99.776952021040 -0.223047978960
468 0.000055054688 -124.355143112706 99.779623842991 -0.220376157009
469 0.000055154688 -124.040694882828 99.782413302179 -0.217586697821
470 0.000055254688 -123.602673021845 99.785317493844 -0.214682506156
471 0.000055354688 -123.041639680259 99.788333401564 -0.211666598436
472 0.000055454688 -122.358279304357 99.791457900379 -0.208542099621
473 0.000055554688 -121.553397829222 99.794687760022 -0.205312239978
474 0.000055654688 -120.627921751218 99.798019648248 -0.201980351752
475 0.000055754688 -119.582897080994 99.801450134272 -0.198549865728
476 0.000055854688 -118.419488178171 99.804975692289 -0.195024307711
477 0.000055954688 -117.138976469007 99.808592705094 -0.191407294906
478 0.000056054688 -115.742759048422 99.812297467787 -0.187702532213
479 0.000056154688 -114.232347167907 99.816086191562 -0.183913808438
480 0.000056254688 -112.609364610941 99.819955007574 -0.180044992426
481 0.000056354688 -110.875545957650 99.823899970886 -0.176100029114
482 0.000056454688 -109.032734740555 99.827917064486 -0.172082935514
483 0.000056554688 -107.082881493356 99.832002203370 -0.167997796630
484 0.000056654688 -105.028041694814 99.836151238692 -0.163848761308
485 0.000056754688 -102.870373609896 99.840359961972 -0.159640038028
486 0.000056854688 -100.612136030421 99.844624109361 -0.155375890639
487 0.000056954688 -98.255685917594 99.848939365951 -0.151060634049
488 0.000057154688 -93.170280564774 99.857739120563 -0.142260879437
489 0.000057354688 -87.734117407672 99.866672388000 -0.133327612000
490 0.000057554688 -81.970253848434 99.875703050871 -0.124296949129
491 0.000057754688 -75.902960282019 99.884794748424 -0.115205251576
492 0.000057954688 -69.557618566815 99.893911022348 -0.106088977652
493 0.000058154688 -62.960616474513 99.903015462388 -0.096984537612
494 0.000058354688 -56.139238555765 99.912071851178 -0.087928148822
495 0.000058554688 -49.121553870665 99.921044307730 -0.078955692270
496 0.000058754688 -41.936301043815 99.929897429010 -0.070102570990
497 0.000058954688 -34.612771112515 99.938596429043 -0.061403570957
498 0.000059154688 -27.180688643561 99.947107274997 -0.052892725003
499 0.000059354688 -19.670091599105 99.955396819733 -0.044603180267
500 0.000059754688 -4.576294668689 99.970843649628 -0.029156350372
501 0.000060154688 10.351317610294 99.984932891323 -0.015067108677
502 0.000060554688 24.880343148671 99.997464147007 -0.002535852993
503 0.000060754688 32.016672174495 100.003316880335 0.003316880335
504 0.000060954688 38.996905215873 100.008735059442 0.008735059442
505 0.000061154688 45.793863527485 100.013698842240 0.013698842240
506 0.000061354688 52.381207181695 100.018190276018 0.018190276018
507 0.000061554688 58.733536627687 100.022193361388 0.022193361388
508 0.000061754688 64.826490098349 100.025694108197 0.025694108197
